id,tipo,origen,aditivo,clasificación,aditivos_alergicos
E626,Sospechoso,Químico o sintético,Guanilatos,Saborizante Saborizantes,"Dont worry, be happy!"
E627,Sospechoso,Químico o sintético,Guanilato sódico,Saborizante Saborizantes,"Dont worry, be happy!"
E629,Sospechoso,Químico o sintético,Guanilatos,Saborizante Saborizantes,"Dont worry, be happy!"
E630,Sospechoso,Químico o sintético,Inosinatos,Saborizante Saborizantes,"Dont worry, be happy!"
E631,Sospechoso,Animal,Inosinato de sodio 5,Saborizante Saborizantes,"Dont worry, be happy!"
E633,Sospechoso,Químico o sintético,Inosinatos,Saborizante Saborizantes,"Dont worry, be happy!"
E634,¡Peligroso!,Químico o sintético,Ribonucleótidos discódicos,Saborizante Saborizantes,"Dont worry, be happy!"
E635,¡Peligroso!,Químico o sintético,Ribonucleótidos discódicos,Saborizante Saborizantes,"Dont worry, be happy!"
E636,Sospechoso,Indeterminado,Maltol,Saborizante Saborizantes,"Dont worry, be happy!"
E637,Sospechoso,Químico o sintético,Etil-maltol,Saborizante Saborizantes,"Dont worry, be happy!"
E640,Sospechoso,Químico o sintético,Glicina y su sal,Saborizante Saborizantes,"Dont worry, be happy!"
E900,Sospechoso,Químico o sintético,Dimetilpolixi...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E901,No nocivo,Animal,Ceras,Estabilizante Estabilizantes,"Dont worry, be happy!"
E903,No nocivo,Indeterminado,Ceras,Estabilizante Estabilizantes,"Dont worry, be happy!"
E904,Sospechoso,Animal,Goma laca,Estabilizante Estabilizantes,"Dont worry, be happy!"
E912,Sospechoso,Químico o sintético,Ésteres...,Estabilizante Estabilizantes,"Dont worry, be happy!"
E913,¡Peligroso!,Animal,Lanolina,Estabilizante Estabilizantes,"Dont worry, be happy!"
E914,Sospechoso,Químico o sintético,Cera polietileno,Estabilizante Estabilizantes,"Dont worry, be happy!"
E920,No nocivo,Animal,L-Cisteína,Estabilizante Estabilizantes,"Dont worry, be happy!"
E921,No nocivo,Animal,L-Cisteína,Estabilizante Estabilizantes,"Dont worry, be happy!"
E927,Sospechoso,Químico o sintético,Carbamida,Estabilizante Estabilizantes,"Dont worry, be happy!"
E950,Sospechoso,Químico o sintético,Acesulfamo potásico,Edulcorante Edulcorantes,"Dont worry, be happy!"
E951,¡Peligroso!,Químico o sintético,Aspartamo (Fenilalanina),Edulcorante Edulcorantes,"Dont worry, be happy!"
